Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Out of Scope,325,Wed Oct 29 00:14:00 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,326,Wed Oct 29 00:14:00 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Processed,327,Wed Oct 29 00:14:00 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,3,304,665,Low,false,
Processed,328,Wed Oct 29 00:14:00 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,3,154,169,Low,false,JSON
Processed,329,Wed Oct 29 00:14:00 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,6,156,16054,Low,false,
Processed,330,Wed Oct 29 00:14:00 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,5,156,16054,Low,false,
Processed,331,Wed Oct 29 00:14:02 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,12,304,734,Medium,false,
Processed,332,Wed Oct 29 00:14:02 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,15,156,16054,Low,false,
Processed,333,Wed Oct 29 00:14:02 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,4,306,152059,Low,false,
Processed,334,Wed Oct 29 00:14:02 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,3,335,612,Low,false,
Processed,335,Wed Oct 29 00:14:02 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,5,303,202,Low,false,
Processed,336,Wed Oct 29 00:14:02 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,6,313,230777,Low,false,
Processed,337,Wed Oct 29 00:14:02 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,22,314,1418005,High,false,
Out of Scope,338,Wed Oct 29 00:14:02 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,339,Wed Oct 29 00:14:02 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,340,Wed Oct 29 00:14:02 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,341,Wed Oct 29 00:14:02 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Processed,342,Wed Oct 29 00:14:02 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,4,304,665,Low,false,
Processed,343,Wed Oct 29 00:14:02 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,8,154,169,Low,false,
Processed,344,Wed Oct 29 00:14:02 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,6,156,16054,Low,false,
Processed,345,Wed Oct 29 00:14:02 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,7,156,16054,Low,false,
Processed,346,Wed Oct 29 00:14:03 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,6,243,100,,false,
Processed,347,Wed Oct 29 00:14:04 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,12,304,734,Medium,false,"Script, Comment"
Processed,348,Wed Oct 29 00:14:04 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,6,303,202,Low,false,
Processed,349,Wed Oct 29 00:14:04 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,10,306,152059,Low,false,Password
Processed,350,Wed Oct 29 00:14:04 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,6,335,612,Low,false,
Processed,351,Wed Oct 29 00:14:04 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,14,313,230777,Low,false,
Processed,352,Wed Oct 29 00:14:04 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,25,314,1418005,High,false,
