ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
513,Wed Oct 29 00:15:14 UTC 2025,Wed Oct 29 00:15:14 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-32x32.png?name=abc,200,,8,304,628
514,Wed Oct 29 00:15:15 UTC 2025,Wed Oct 29 00:15:15 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,14,275,275
515,Wed Oct 29 00:15:15 UTC 2025,Wed Oct 29 00:15:15 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,8,243,100
516,Wed Oct 29 00:15:15 UTC 2025,Wed Oct 29 00:15:15 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,24,335,612
517,Wed Oct 29 00:15:15 UTC 2025,Wed Oct 29 00:15:15 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,5,243,100
518,Wed Oct 29 00:15:16 UTC 2025,Wed Oct 29 00:15:16 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js?name=abc,200,,9,335,612
519,Wed Oct 29 00:15:17 UTC 2025,Wed Oct 29 00:15:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,6,303,202
520,Wed Oct 29 00:15:17 UTC 2025,Wed Oct 29 00:15:17 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,21,243,100
521,Wed Oct 29 00:15:17 UTC 2025,Wed Oct 29 00:15:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,34,314,1418005
522,Wed Oct 29 00:15:18 UTC 2025,Wed Oct 29 00:15:18 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css?name=abc,200,,5,303,202
523,Wed Oct 29 00:15:18 UTC 2025,Wed Oct 29 00:15:18 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui?name=abc,404,,9,275,275
524,Wed Oct 29 00:15:18 UTC 2025,Wed Oct 29 00:15:18 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,51,243,100
525,Wed Oct 29 00:15:19 UTC 2025,Wed Oct 29 00:15:19 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,23,304,734
526,Wed Oct 29 00:15:19 UTC 2025,Wed Oct 29 00:15:19 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,24,306,152059
527,Wed Oct 29 00:15:19 UTC 2025,Wed Oct 29 00:15:19 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,25,243,100
528,Wed Oct 29 00:15:19 UTC 2025,Wed Oct 29 00:15:19 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,10,306,152059
529,Wed Oct 29 00:15:19 UTC 2025,Wed Oct 29 00:15:19 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,26,313,230777
530,Wed Oct 29 00:15:19 UTC 2025,Wed Oct 29 00:15:19 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,11,303,202
531,Wed Oct 29 00:15:19 UTC 2025,Wed Oct 29 00:15:19 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,9,335,612
532,Wed Oct 29 00:15:19 UTC 2025,Wed Oct 29 00:15:19 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,40,314,1418005
533,Wed Oct 29 00:15:19 UTC 2025,Wed Oct 29 00:15:19 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js?name=abc,200,,15,314,1418005
534,Wed Oct 29 00:15:20 UTC 2025,Wed Oct 29 00:15:20 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,4,304,665
535,Wed Oct 29 00:15:20 UTC 2025,Wed Oct 29 00:15:20 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css?name=abc,200,,13,306,152059
536,Wed Oct 29 00:15:20 UTC 2025,Wed Oct 29 00:15:20 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,29,154,169
537,Wed Oct 29 00:15:20 UTC 2025,Wed Oct 29 00:15:20 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,11,156,16054
538,Wed Oct 29 00:15:20 UTC 2025,Wed Oct 29 00:15:20 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,5,313,230777
539,Wed Oct 29 00:15:21 UTC 2025,Wed Oct 29 00:15:21 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,16,243,100
540,Wed Oct 29 00:15:21 UTC 2025,Wed Oct 29 00:15:21 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js?name=abc,200,,26,313,230777
541,Wed Oct 29 00:15:40 UTC 2025,Wed Oct 29 00:15:40 UTC 2025,GET,http://host.docker.internal:8081/check-token,200,,44,161,16
542,Wed Oct 29 00:15:55 UTC 2025,Wed Oct 29 00:15:55 UTC 2025,GET,http://host.docker.internal:8081/auth/hh,302,Found,31,2303,0
543,Wed Oct 29 00:16:03 UTC 2025,Wed Oct 29 00:16:03 UTC 2025,GET,http://host.docker.internal:8081/account/login?backurl=%2Foauth%2Fauthorize%3Fclient_id%3DU07LVPGLIM3IN6E0B4FJU0VA48UJC97DHNKA4LOIUNFRI4N2QKEDID8E5D0362RD%26redirect_uri%3Dhttp%253A%252F%252Flocalhost%253A8080%252Fapi%252Fv1%252Fauth%252Fcallback%26response_type%3Dcode%26skip_choose_account%3Dtrue&response_type=code&oauth=true,404,,15,243,102
544,Wed Oct 29 00:16:17 UTC 2025,Wed Oct 29 00:16:17 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,26,156,16054
545,Wed Oct 29 00:21:11 UTC 2025,Wed Oct 29 00:21:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,14,304,734
546,Wed Oct 29 00:21:11 UTC 2025,Wed Oct 29 00:21:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,4,306,152059
547,Wed Oct 29 00:21:11 UTC 2025,Wed Oct 29 00:21:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,4,303,202
548,Wed Oct 29 00:21:11 UTC 2025,Wed Oct 29 00:21:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,4,335,612
549,Wed Oct 29 00:21:11 UTC 2025,Wed Oct 29 00:21:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,7,313,230777
550,Wed Oct 29 00:21:11 UTC 2025,Wed Oct 29 00:21:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,12,314,1418005
551,Wed Oct 29 00:21:11 UTC 2025,Wed Oct 29 00:21:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,3,304,665
552,Wed Oct 29 00:21:11 UTC 2025,Wed Oct 29 00:21:11 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,3,154,169
553,Wed Oct 29 00:21:11 UTC 2025,Wed Oct 29 00:21:11 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,7,156,16054
554,Wed Oct 29 00:21:29 UTC 2025,Wed Oct 29 00:21:29 UTC 2025,GET,http://host.docker.internal:8081/check-token,200,,27,161,16
555,Wed Oct 29 00:21:41 UTC 2025,Wed Oct 29 00:21:41 UTC 2025,GET,http://host.docker.internal:8081/auth/hh,302,Found,6,2302,0
556,Wed Oct 29 00:21:48 UTC 2025,Wed Oct 29 00:21:48 UTC 2025,GET,http://host.docker.internal:8081/account/login?backurl=%2Foauth%2Fauthorize%3Fclient_id%3DU07LVPGLIM3IN6E0B4FJU0VA48UJC97DHNKA4LOIUNFRI4N2QKEDID8E5D0362RD%26redirect_uri%3Dhttp%253A%252F%252Flocalhost%253A8080%252Fapi%252Fv1%252Fauth%252Fcallback%26response_type%3Dcode%26skip_choose_account%3Dtrue&response_type=code&oauth=true,404,,41,243,102
557,Wed Oct 29 00:22:13 UTC 2025,Wed Oct 29 00:22:13 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html?name=abc,200,,11,304,734
558,Wed Oct 29 00:22:13 UTC 2025,Wed Oct 29 00:22:13 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,4,335,612
559,Wed Oct 29 00:22:13 UTC 2025,Wed Oct 29 00:22:13 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,4,154,169
560,Wed Oct 29 00:22:13 UTC 2025,Wed Oct 29 00:22:13 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,11,156,16054
561,Wed Oct 29 00:22:13 UTC 2025,Wed Oct 29 00:22:13 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,6,156,16054
562,Wed Oct 29 00:22:13 UTC 2025,Wed Oct 29 00:22:13 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,8,156,16054
563,Wed Oct 29 00:22:32 UTC 2025,Wed Oct 29 00:22:32 UTC 2025,GET,http://host.docker.internal:8081/check-token,200,,25,161,16
564,Wed Oct 29 00:22:44 UTC 2025,Wed Oct 29 00:22:44 UTC 2025,GET,http://host.docker.internal:8081/auth/hh,302,Found,9,2233,0
565,Wed Oct 29 00:22:52 UTC 2025,Wed Oct 29 00:22:52 UTC 2025,GET,http://host.docker.internal:8081/account/login?backurl=%2Foauth%2Fauthorize%3Fclient_id%3DU07LVPGLIM3IN6E0B4FJU0VA48UJC97DHNKA4LOIUNFRI4N2QKEDID8E5D0362RD%26redirect_uri%3Dhttp%253A%252F%252Flocalhost%253A8080%252Fapi%252Fv1%252Fauth%252Fcallback%26response_type%3Dcode%26skip_choose_account%3Dtrue&response_type=code&oauth=true,404,,25,243,102
566,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,34,194,99
567,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,3,194,99
568,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,4,194,99
569,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui?class.module.classLoader.DefaultAssertionStatus=nonsense,404,,7,194,99
570,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-32x32.png?class.module.classLoader.DefaultAssertionStatus=nonsense,200,,8,256,628
571,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js?class.module.classLoader.DefaultAssertionStatus=nonsense,200,,6,335,612
572,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html?class.module.classLoader.DefaultAssertionStatus=nonsense,200,,8,304,734
573,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png?class.module.classLoader.DefaultAssertionStatus=nonsense,200,,9,304,665
574,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css?class.module.classLoader.DefaultAssertionStatus=nonsense,200,,8,303,202
575,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,POST,http://host.docker.internal:8081/swagger-ui,404,,6,194,99
576,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js?class.module.classLoader.DefaultAssertionStatus=nonsense,200,,10,313,230777
577,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,POST,http://host.docker.internal:8081/swagger-ui/index.css,405,,4,305,118
578,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,POST,http://host.docker.internal:8081/swagger-ui/favicon-32x32.png,405,,5,213,126
579,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,POST,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,405,,5,261,126
580,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css?class.module.classLoader.DefaultAssertionStatus=nonsense,200,,8,306,152059
581,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,POST,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,405,,5,305,131
582,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,POST,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,405,,4,305,140
583,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js?class.module.classLoader.DefaultAssertionStatus=nonsense,200,,18,314,1418005
584,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,POST,http://host.docker.internal:8081/swagger-ui/index.html,405,,14,293,284
585,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,POST,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,405,,4,305,123
586,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,POST,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,405,,3,305,129
587,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,2,194,99
588,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,3,194,99
589,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,3,194,99
590,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,3,194,99
591,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,4,194,99
592,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,6,194,99
593,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,4,194,99
594,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/latest/meta-data/,404,,6,195,106
595,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/latest/meta-data/,404,,3,195,106
596,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/computeMetadata/v1/,404,,4,195,108
597,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/computeMetadata/v1/,404,,3,195,108
598,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/opc/v1/instance/,404,,4,195,105
599,Wed Oct 29 00:23:17 UTC 2025,Wed Oct 29 00:23:17 UTC 2025,GET,http://host.docker.internal:8081/opc/v1/instance/,404,,3,195,105
